ID,#日本語(原文),#やさしい日本語,#英語(原文),
40547,この図書館には英語の本がたくさんある。,この図書館には英語の本がたくさんある。,there are a lot of english books in this library .,
40548,彼女は幸せらしい。,彼女は幸せらしい。,it seems that she is happy .,
40549,その川は危険だ。,その川は危険だ。,the river is dangerous .,
40550,先週の日曜日は何をしたの？,前の日曜日は何をしたの？,what did you do last sunday ?,
40551,彼とつきあうのは君にとってマイナスだ。,彼と一緒にいることはあなたにとって悪い。,i don 't think your seeing him is good for you .,
40552,残念な事に、彼女はいなかった。,残念な事に、彼女はいなかった。,"to her disappointment , she was not there .",
40553,私の部屋に入りなさい。,私の部屋に入りなさい。,come into my room .,
40554,ペンが必要なら貸してあげよう。,ペンが必要なら貸してあげよう。,"if you need a pen , i 'll lend you one .",
40555,両方ともよい。,どちらともよい。,they are both good .,
40556,彼女は汚れの無い心の持ち主です。,彼女はきれいな心を持っています。,she has a clean heart .,
40557,妻がいないと何かと不自由だ。,妻がいないと何かと不自由だ。,i am inconvenienced when my wife is away .,
40558,いい天気だから窓をあけてもいいですか。,いい天気だから窓を開けてもいいですか。,"since the weather is so good , can i open a window ?",
40559,文夫は正直だから皆彼が好きだ。,文夫は嘘を言わない人だからみんな彼が好きだ。,everyone likes fumio because he is honest .,
40560,それは誰か他の人にやらせて下さい。,それは誰か他の人にやらせてください。,please have someone else do it .,
40561,父はたばこを吸う。,父は煙草を吸う。,my father smokes .,
40562,私は彼の話に大変感銘を受けた。,私は彼の話に大変感動した。,i was much impressed by his speech .,
40563,私は探していた鍵を見つけた。,私は探していた鍵を見つけた。,i found the key for which i had been looking .,
40564,私は自分が言ったことを謝る必要が無い。,私は自分が言ったことを謝る必要が無い。,i don 't have to apologize for what i said .,
40565,いいよ、気にしなくて。,いいよ、気にしなくて。,don 't worry about it .,
40566,私は職場から１時間の所に住んでいる。,私は仕事している場所から１時間の所に住んでいる。,i live an hour away from work .,
40567,彼にその荷物を運んでもらおう。,彼にその荷物を運んでもらおう。,i will have him carry the baggage upstairs .,
40568,彼は英語とフランス語が話せる。,彼は英語とフランス語を話すことができる。,he can speak english and french .,
40569,宿題を助けてくれて感謝しています。,宿題を助けてくれて感謝しています。,i 'm thankful to you for your helping me with my homework .,
40570,ぼくはその問題については全然知らない。,私はその問題については全く知らない。,i have no knowledge of that question .,
40571,彼の妻はもちろん子供たちもそのパーティーに招待された。,彼の妻はもちろん子供たちもそのパーティーに呼ばれた。,his children as well as his wife were invited to the party .,
40572,ここでは女の子の靴だけが売られています。,ここでは女の靴だけが売られています。,only girls ' shoes are sold here .,
40573,あなたは彼の忠告を聞くべきだ。,あなたは彼の注意を聞くべきだ。,you should follow his advice .,
40574,私たちはコーヒーを飲みながら彼を待っていた。,私たちはコーヒーを飲みながら彼を待っていた。,we were waiting for him over a cup of coffee .,
40575,私はこのコートを安く買った。,私はこのコートを安く買った。,i bought this coat at a low price .,
40576,次のバスは３０分後に来た。,次のバスは３０分後に来た。,the next bus came thirty minutes later .,
40577,ご参加お待ちしております。,ご参加お待ちしております。,we look forward to your entries .,
40578,愛の輝きのない人生は何だろうか。,愛のない人生は何だろうか。,what is life without the radiance of love ?,
40579,君が外国語を学ぶ事は重要です。,あなたが外国語を学ぶ事は重要です。,it is important for you to learn a foreign language .,
40580,部屋に鍵をわすれてしまって入れません。,部屋に鍵を忘れてしまって入れません。,i 've locked myself out of the room .,
40581,無駄遣いをするな。,お金を意味のないことに使うな。,don 't waste your money .,
40582,彼を訪問するつもりでいたができなかった。,彼のところへ行くつもりでいたができなかった。,"i expected that i would visit him , but i couldn 't .",
40583,今とても幸せだ。,今とても幸せだ。,i 'm very happy now .,
40584,彼は僕にこの仕事をするように命じた。,彼は私にこの仕事をするように言った。,he appointed me to do this task .,
40585,ご連絡先の電話番号は何番でしょうか。,ご連絡先の電話番号は何番でしょうか。,do you have a number where we can contact you ?,
40586,彼は夜中の二時まで帰らなかった。,彼は夜の２時まで帰らなかった。,he didn 't get in until 2 o 'clock in the morning .,
40587,わたしの家はここからたった１マイルの所にある。,私の家はここから約１６００メートルの所にある。,my house is only a mile from here .,
40588,レアでお願いします。,表は焼いて、中はそのままでお願いします。,i would like mine rare .,
40589,彼女の言うことをどう思いますか。,彼女の言うことをどう思いますか。,how do you feel about what she said ?,
40590,私はその川が汚れているのが分かった。,私はその川がきれいではないのが分かった。,i found the river dirty .,
40591,私はいまお金の持ち合わせがありません。,私はちょうど今お金を持っていません。,i have no money with me now .,
40592,まあ、そう言ってくださって本当にありがとう。,まあ、そう言ってくださって本当にありがとう。,"oh , it 's very kind of you to say so .",
40593,あなたは昨日日光に行きましたか。,あなたは昨日日光に行きましたか。,did you go to nikko yesterday ?,
40594,まっすぐ行きなさい。そうすれば店が見えます。,まっすぐ行きなさい。そうすれば店が見えます。,"go straight on , and you will find the store .",
40595,私は持ち合わせのお金がありません。,私はちょうど今お金を持っていません。,i don 't have any money on hand .,
40596,この辞書は私にたいへん役に立つ。,この辞書は私にとても役に立つ。,this dictionary is of great use to me .,
40597,泳げればなぁ。,泳ぐことができればな。,i wish i could swim .,
40598,いかない方がよい。,いかない方がよい。,you had better not go .,
40599,なんて変な天気でしょう。,なんて変わった天気でしょう。,how strange the weather is !,
40600,今日は楽しみにしてきました。,今日は楽しみにしてきました。,i was excited to come .,
40601,誰も戦争を好むものはいない。,誰も戦争をしたいと思わない。,no one loves war .,
40602,なぜそんなにうれしがっているのか。,なぜそんなに嬉しがっているのか。,why are you so happy ?,
40603,そこは東京です。,そこは東京です。,there is tokyo .,
40604,彼らは盗まれたお金を見つけた。,彼らは盗まれたお金を見つけた。,they found the stolen money .,
40605,私はジュディさんとテニスがしたい。,私はジュディさんとテニスがしたい。,i want to play tennis with judy .,
40606,明日何が起きるのか誰にもわからない。,明日何が起きるのか誰にもわからない。,there is no telling what will happen tomorrow .,
40607,努力をすることは重要である。,努力をすることは重要である。,it is important that we make an effort .,
40608,私は外国に友人が多くいます。,私は外国に友達が多くいます。,i have many friends in foreign countries .,
40609,医者は私に余り食べ過ぎないように注意した。,医者は私に余り食べ過ぎないように注意した。,the doctor advised me not to eat too much .,
40610,喜んでお受けしましょう。,喜んでお受けしましょう。,i 'll be only too glad to go with you .,
40611,トムはたった今帰宅したところだ。,トムはちょうど今帰ったところだ。,tom came home just now .,
40612,ここにはいつまで滞在していますか。,ここにはいつまで滞在していますか。,how long will you stay here ?,
40613,彼女は事の真相を知っていたようである。,彼女は事実を知っていたようである。,she seems to have known the truth of the matter .,
40614,そんなことは本当であるはずがない。,そんなことは本当であるはずがない。,that can 't be true .,
40615,その時になったら、必ず知らせてね！,その時になったら、必ず知らせてね！,don 't forget to let me know when it 's time !,
40616,それをすぐにしてもいいですか。,それをすぐにしてもいいですか。,may i do it right now ?,
40617,彼が誕生日カードを送ってくれた。,彼が誕生日カードを送ってくれた。,he sent me a birthday card .,
40618,ちっとも構いませんよ。,全く気にしないですよ,i don 't care .,
40619,自動車にひかれたのではないですか。,自動車に当たったのですか。,wasn 't he killed by a car ?,
40620,彼らは私を指導者とみなした。,彼らは私を指導者と判断した。,they looked on me as their leader .,
40621,その秘密が知られる危険があった。,その秘密が知られる危険があった。,there was danger lest the secret become known .,
40622,長い講義がやっと終わった。,長い授業がやっと終わった。,the long discussion came to an end at last .,
40623,月は地球のただ一つの衛星である。,地球を中心に動くのは月のみである。,the moon is the earth 's only satellite .,
40624,寒い天気が３週間も続いた。,寒い天気が３週間も続いた。,the cold weather continued for three weeks .,
40625,私は、母の夢をときどき見る。,私は、母の夢を時々見る。,i sometimes dream of my mother .,
40626,彼らはそのニュースを聞いて涙を流した。,彼らはそのニュースを聞いて涙した。,they shed tears at the news .,
40627,私たちはパーティーの計画を推し進めた。,私たちはパーティーの計画を進めた。,we went ahead with the plan for the party .,
40628,どこで待ち合わせしようか。,どこで会うことにしようか。,where should we meet ?,
40629,私がピアノをひくのは難しい。,私がピアノを弾くのは難しい。,it is difficult for me to play the piano .,
40630,私は６時前に起きるのが難しい。,私は６時前に起きるのが難しい。,it is difficult for me to get up before six .,
40631,女性は涙もろい。,女の人は涙しやすい。,women are easily moved to tears .,
40632,私は彼にまったく偶然に出会ったのだ。,私は彼に全く思わぬ時に会ったのだ。,i met him by pure chance .,
40633,彼の成功は奇跡というほかなかった。,彼の成功は不思議なことだった。,his success was nothing short of a miracle .,
40634,この店では時間決めで自転車を借りられる。,この店では時間を決めることで自転車を借りられる。,you can hire a bicycle by the hour at this shop .,
40635,それは困った質問だな。,それは困った質問だな。,it 's an embarrassing question .,
40636,もう遅いからテレビを消しなさい。,もう遅いからテレビを消しなさい。,"as it is late , turn off the tv .",
40637,私は辞書なしではすませない。,私は辞書なしではすませない。,i cannot do without this dictionary .,
40638,ニューヨークでは今何が起こっているのかね。,ニューヨークでは今何が起こっているのかね。,what 's going on in that area right now ?,
40639,彼の夢は達成されるだろうか。,彼の夢は達成されるだろうか。,can he fulfill his dream ?,
40640,映画に行くつもりです。,映画に行くつもりです。,i 'm going to go to the movies .,
40641,子供にでもそれはできる。,子供にでもそれはできる。,even a child can do it .,
40642,手紙で連絡ください。,手紙で連絡ください。,please contact me by mail .,
40643,彼はマイカーの修理を自分でする。,彼は自分の車のなおしを自分でする。,he repairs his own car .,
40644,この本どこに置くの。,この本どこに置くの。,where does this book go ?,
40645,あなたの名前が出ましたよ。,あなたの名前が出ましたよ。,your name was mentioned .,
40646,私はヨーロッパへ行かないことを決心した。,私はヨーロッパへ行かないことを決めた。,i decided not to go to europe .,
40647,あなたは暇な時間をもっとうまく利用すべきだ。,あなたは自由な時間をもっとうまく利用するべきだ。,you should make better use of your free time .,
40648,お金は大事にしなくてはならない。,お金は大事にしなくてはならない。,you should be careful of your money .,
40649,私は先生をとても尊敬している。,私は先生をとても尊敬している。,i respect my teacher very much .,
40650,彼はクラスのどの少年よりもテニスを上手にできる。,彼はクラスのどの少年よりもテニスをうまくできる。,he can play tennis better than any other boy in his class .,
40651,その本を読んでしまったのでしょう。,その本を読んでしまったのでしょう。,"you 've read through the book , haven 't you ?",
40652,あの靴はその服とあわない。,あの靴はその服と合わない。,those shoes do not go with the suit .,
40653,僕はこの図書館でその本を借りた。,僕はこの図書館でその本を借りた。,i borrowed the book from this library .,
40654,それは２０ドルぐらいでした。,それは２０ドルぐらいでした。,it was about twenty dollars .,
40655,私にはうしろめたいことは全くありません。,私には自分自身が悪いと思っていることは全くありません。,i have nothing to hide .,
40656,そうだね。とジョンが言いました。,そうだね。とジョンが言いました。," that 's right '' , said john .",
40657,今ダイエット中なの。,今、体の重さを落とそうとしているの。,i 'm on a diet .,
40658,この規則は当てはまらない。,この規則は使われない。,this rule does not apply .,
40659,彼は新しい靴が気に入っている。,彼は新しい靴が気に入っている。,he is pleased with his new shoes .,
40660,もしひまがあれば、彼は来るでしょう。,もし自由な時間があれば、彼は来るでしょう。,"if he has time , he will come .",
40661,彼は大統領を辞任した。,彼は大統領をやめた。,he resigned as president .,
40662,このラジオはいくらか。,このラジオはいくらか。,how much is this radio ?,
40663,彼女は家で昼食をとる。,彼女は家で昼食をとる。,she has lunch at home .,
40664,私達のうちで成功した者は一人もいない。,私たちのうちで成功した者は一人もいない。,none of us have succeeded .,
40665,現金で払う必要はありません。,そのままのお金で払う必要はありません。,you don 't have to pay in cash .,
40666,彼は他人の悪口を決して言いそうにない人物だ。,彼は他の人の悪いことを決して言わない人物だ。,he is the last person to speak ill of others .,
40667,まさかの時にはあなたを助けてやろう。,急な時にはあなたを助けてやろう。,i 'll stand by you in time of need .,
40668,一人を除いてみんな帰った。,一人を除いてみんな帰った。,"except for one person , everybody went home .",
40669,お父さんにコーヒーを持っていきなさい。,お父さんにコーヒーを持っていきなさい。,take your father a cup of coffee .,
40670,私の言わんとするところもそこです。,私の言わんとするところもそこです。,that 's just what i was going to say .,
40671,春がやってきた。,春がやってきた。,spring came on .,
40672,彼は何とか授業に間に合った。,彼は何とか授業の時間に着いた。,he managed to be on time for class .,
40673,私が鳥であればなあ。,私が鳥であればなあ。,i wish i were a bird .,
40674,疲れた子供はぐっすり寝ている。,疲れた子供は十分にゆっくり寝ている。,the tired boy is fast asleep .,
40675,私たちは彼の援助を求めた。,私たちは彼に助けてくれることを求めた。,we called on his aid .,
40676,私は昨日早く起きた。,私は昨日早く起きた。,i got up early yesterday .,
40677,私の妹は今ひどい風邪にかかっている。,私の妹は今ひどい風邪にかかっている。,my sister is suffering from a bad cold now .,
40678,わたしたちはもう長年の知り合いです。,私たちはもう昔からの友達です。,we have known each other for many years now .,
40679,あなたは彼女を魅力的だと思いますか。,あなたは彼女を魅力的だと思いますか。,do you think her attractive ?,
40680,彼女は時々母に髪をカットしてもらう。,彼女は時々母に髪を切ってもらう。,she sometimes has her mother cut her hair .,
40681,彼はその金を彼女からだましとった。,彼はその金を彼女に嘘をついてとった。,he got the money from her by a trick .,
40682,私は時計を修理に出した。,私は時計をなおしに出した。,i put my watch in for repair .,
40683,彼はとても誠実に商売をしている。,彼は嘘をいわずものを売っている。,he is very honest in business .,
40684,その部屋の大きさはどれぐらいですか。,その部屋の大きさはどれぐらいですか。,what are the dimensions of the room ?,
40685,先生は、私達に部屋を掃除させた。,先生は、私たちに部屋を片付けさせた。,our teacher made us clean the room .,
40686,その計画には絶対反対だ。,その計画には絶対反対だ。,i 'm dead against the plan .,
40687,その考えは実に魅力的だ。,その考えは実に魅力的だ。,the idea is very attractive .,
40688,今日は学校の運動会だ。,今日は学校の運動会だ。,today is our school field day .,
40689,彼は仕事に没頭している。,彼は仕事に集中している。,he is absorbed in his work .,
40690,一度に一つしか、だめよ。,１度に１つしか、ダメよ。,you can 't just do one thing at a time .,
40691,私はそれを自分で見たい。,私はそれを自分で見たい。,i want to see it for myself .,
40692,彼は私の説明で満足しているらしい。,彼は私の説明で満足しているらしい。,he seems satisfied with my explanation .,
40693,私はどのサイズが合いますか。,私はどの大きさが合いますか。,what size do you think i take ?,
40694,私のバッグが見つからない。,私は鞄を失った。,i can 't find my bag .,
40695,私は昇進を切に願っている。,私は役割が上がること心から願っている。,i 'm anxious for a promotion .,
40696,好きな食べ物は何でも食べなさい。,好きな食べ物は何でも食べなさい。,eat whatever food you like .,
40697,トムはきのう早く帰って来ました。,トムは昨日早く帰って来ました。,tom came home early yesterday .,
40698,彼女は何を心配しているのだろう。,彼女は何を心配しているのだろう。,i wonder what 's on her mind .,
40699,多くの学生がその会合に出席しています。,多くの学生がその会議に出ています。,a lot of students are present at the meeting .,
40700,彼が今日の私を育ててくれた。,彼が今日の私を育ててくれた。,he has made me what i am .,
40701,紳士ならそんなことは言わないだろう。,心優しい男ならそんなことは言わないだろう。,a gentleman would not say such a thing .,
40702,彼女が戻ったら君に電話をかけさせるよ。,彼女が戻ったらあなたに電話をかけさせるよ。,i 'll have her call you when she gets back .,
40703,君はもう宿題をし終えたのですか。,あなたはもう宿題が終わったのですか。,have you finished doing your homework yet ?,
40704,彼は帰宅途中で事故にあった。,彼は帰る途中で事故にあった。,he had an accident on his way home .,
40705,私たちの野球チームはとても強い。,私たちの野球チームはとても強い。,our baseball team is very strong .,
40706,私の母は英語を話しません。,私の母は英語を話しません。,my mother does not speak english .,
40707,誰が君にそのニュースを知らせたの？,誰があなたにそのニュースを知らせたの？,who told you the news ?,
40708,あなたか私かどちらかが間違っている。,あなたか私かどちらかが間違っている。,either you or i am in the wrong .,
40709,彼らは５時に店を閉めた。,彼らは５時に店を閉じた。,they closed the shop at five .,
40710,どうか電灯を消して下さい。,どうか電気を消してください。,"turn off the light , please .",
40711,彼女は今度の日曜日は暇かどうか私にたずねた。,彼女は今度の日曜日は自由な時間かどうか私に聞いた。,she asked me if i would be free next sunday .,
40712,彼女は手に花を持っている。,彼女は手に花を持っている。,she has flowers in her hand .,
40713,バスは定刻より５分前に出発した。,バスは決まった時間より５分前に出発した。,the bus left five minutes ahead of time .,
40714,彼はテニスが好きではありません。,彼はテニスが好きではありません。,he does not like tennis .,
40715,数日間雨が降り続いた。,何日か雨が降り続いた。,it rained for several days on end .,
40716,お待ちいただきありがとうございました。,待ってくれてありがとう。,thank you for your patience .,
40717,あのかわいい少女をごらんなさい。,あのかわいい少女を見ろ。,look at that pretty little girl .,
40718,彼女は目をそらした。,彼女は目を別な方向に向けた。,she kept her eyes off .,
40719,どの本も読む価値はない。,どの本も読む価値はない。,no book is worth reading .,
40720,そんなことを人前で言ってはいけない。,そんなことを人の前で言ってはならない。,you ought not to say such things in public .,
40721,そんなのでいいと思ってるの？,そんなのでいいと思ってるの？,you want to leave it like that ?,
40722,毎晩遅くまで起きていてはいけない。,毎日夜遅い時間まで起きていてはならない。,don 't stay up late every night .,
40723,私はこの時計をあの店で買った。,私はこの時計をあの店で買った。,i bought this watch at the store .,
40724,そのコンサートはいつですか。,そのコンサートはいつですか。,when will the concert be held ?,
40725,悪化したのですか。,悪くなったのですか。,is it getting worse ?,
40726,疑いの余地はない。,明らかだ。,there is no room for doubt .,
40727,その事故に対して責任があるのは君だ。,その事故に対して責任があるのはあなただ。,it is you that are responsible for the accident .,
40728,なおして下さい。,なおしてください。,can you get it repaired ?,
40729,彼はきっとやってくれると思う。,彼はきっとやってくれると思う。,i don 't doubt but that he will do it .,
40730,彼はひと月に一回ここに来る。,彼はひと月に１回ここに来る。,he comes here once a month .,
40731,どうしてそのような考えを思いついたの。,どうしたらそんな考えが出てくるの。,what put such an idea into your head ?,
40732,私はその話を聞いて面白かった。,私はその話を聞いて面白かった。,i was amused at the story .,
40733,私は若い頃から運動が好きである。,私は若い頃から運動が好きである。,i have been a lover of sports since i was young .,
40734,誕生日、おめでとう。,誕生日、おめでとう。,happy birthday to you !,
40735,彼は彼女の面前でそう言った。,彼は彼女の前でそう言った。,he said so to her face .,
40736,彼はちょっとの間ためらった。,彼はちょっとの間何もしなかった。,he hesitated for a moment .,
40737,後で私に電話して下さい。,後で私に電話してください。,please call me up later .,
40738,彼女は子供達に囲まれて座っていた。,子供たちは彼女の周囲に座っていた。,she sat surrounded by her children .,
40739,あなたは時には妹さんにおこづかいをあげますか。,あなたは時には妹さんにお金をあげますか。,do you sometimes give your sister money ?,
40740,それは正門です。,それは表の門です。,it 's the front gate .,
40741,姉はとても早く泳げる。,姉はとても早く泳ぐことができる。,my sister can swim very fast .,
40742,８時にいけば彼に会えるかもしれない。,８時にいけば彼に会うことができるだろう。,"you may catch him , if you call at his office before eight .",
40743,その男の子は泣き始めました。,その少年は泣き始めました。,the boy began to cry .,
40744,すべて突然起こった。,全て突然起こった。,everything happened all at once .,
40745,自分の力で宿題をやりなさい。,自分の力で宿題をやりなさい。,do your homework for yourself .,
40746,注意すればするほど、ミスをしなくなる。,注意すればするほど、失敗をしなくなる。,"the more careful you are , the fewer mistakes you make .",
40747,我々はあなたの要求には応じられません。,私たちはあなたの要求には応じられません。,we cannot meet your needs .,
40748,それはなんて長いんだろう。,それはなんて長いんだろう。,how long it is !,
40749,彼らはその男のすぐ後ろについていった。,彼らはその男のすぐ後ろについていった。,they followed hard after the man .,
40750,彼女は生まれはアメリカである。,彼女の出身はアメリカである。,she is an american by birth .,
40751,彼は天才だと言われている。,彼はすごい能力があると言われている。,he is said to be a genius .,
40752,とてもいい考えが浮かんできた。,とてもいい考えが浮かんできた。,a very bright idea came to my mind .,
40753,彼はクラスのびりだった。,彼はクラスの最後だった。,he was at the bottom of the class .,
40754,彼は酒によっています。,彼は酒によっています。,his eyes are set .,
40755,彼は画家であるはずがない。,彼は絵を描く人であるはずがない。,he cannot be an artist .,
40756,僕にはわけがわからないよ。,僕にはわけがわからないよ。,that just doesn 't make sense to me .,
40757,空は星で一杯だ。,たくさん星が空にある。,the sky is full of stars .,
40758,日本の家は小さい。,日本の家は小さい。,japanese houses are small .,
40759,彼女はじきよくなるだろう。,彼女はそのうちよくなるだろう。,she will get well soon .,
40760,少ない収入で生活する事は難しい。,少ない収入で生活する事は難しい。,living on a small income is hard .,
40761,私はリンゴが好きではない。,私はりんごが好きではない。,i don 't like apples .,
40762,彼は英語が話せないんですね。,彼は英語が話すことができないんですね。,"he can 't speak english , can he ?",
40763,あの夏は雷が多かった。,あの夏は空から電気が落ちてくることが多かった。,we had a lot of thunder that summer .,
40764,彼は外国へ行った。,彼は外国へ行った。,he went abroad .,
40765,あなたはなんて背が高いんでしょう。,あなたはなんて背が高いんでしょう。,how tall you are !,
40766,私は押し出された。,私は押されたことで出された。,i was crowded out .,
40767,この列車は東京と大阪の間を走ります。,この列車は東京と大阪の間を走ります。,this train runs between tokyo and osaka .,
40768,冬が近づいてきた。,冬が近づいてきた。,winter is approaching .,
40769,医者に見てもらいに行きなさい。,医者に見てもらいに行きなさい。,go and see the doctor .,
40770,私達が着いた日は休日だった。,私たちが着いた日は休みの日だった。,the day when we arrived was a holiday .,
40771,これがこの船にある最後の食べ物だ。,これがこの船にある最後の食べ物だ。,this is the last food there is on this boat .,
40772,彼はためらうことなく妻に真実を語った。,彼はすぐに、妻に事実を語った。,he didn 't hesitate to tell his wife the truth .,
40773,両親は私がメアリーと結婚することに賛成してくれた。,両親は私がメアリーと結婚することに賛成してくれた。,my parents approved of my marrying mary .,
40774,私は今朝七時に起きた。,私は今朝７時に起きた。,i got up at seven this morning .,
40775,その少年は幸せになった。,その少年は幸せになった。,the boy became happy .,
40776,とても大きいね。,とても大きいね。,they are very big .,
40777,私は健康のためにたばこを吸うのをやめた。,私は健康のために煙草を吸うのをやめた。,i stopped smoking for the sake of my health .,
40778,木が倒れた。,木が倒れた。,the tree fell down .,
40779,彼らは赤ちゃんを何と呼ぶのですか。,彼らは赤ちゃんを何と呼ぶのですか。,what do they call their baby ?,
40780,机の上に本が置いてある。,机の上に本が置いてある。,a book is lying on the desk .,
40781,皆、彼をリーダーとみなして尊敬していた。,みんな、彼を指導者と判断して尊敬していた。,they all looked up to him as their leader .,
40782,私には彼女が何者か分からなかった。,私には彼女がどんな人なのか分からなかった。,i had no idea who she was .,
40783,コーヒーは少しも残っていないと思う。,コーヒーは少しも残っていないと思う。,i 'm afraid there isn 't any coffee left .,
40784,父はしょっちゅう怒ってばかりいる。,父はいつも怒ってばかりいる。,my father is always getting angry .,
40785,東洋人はものの見方が我々とは違う。,アジア人はものの見方が私たちとは異なる。,people from the east do not look at things the same as we do .,
40786,君の車に私を乗せて下さい。,あなたの車に私を乗らせてください。,give me a lift in your car .,
40787,それをどう始末するの。,それをどう処理するの。,what shall i do with it ?,
40788,それは本当の話だと思いました。,それは本当の話だと思いました。,it appeared a true story .,
40789,メアリーは親切にも私を手伝ってくれた。,メアリーは親切にも私を助けてくれた。,mary was so kind as to help me .,
40790,私の部屋にたくさんの本がある。,私の部屋に多くの本がある。,there are many books in my room .,
40791,彼は帽子をかぶったままだった。,彼は帽子を身につけたままだった。,he kept his hat on .,
40792,あなたは約束をした。,あなたは約束をした。,you have made a promise .,
40793,兄が大きな魚を捕まえた。,兄が大きな魚を捕まえた。,my brother caught a big fish .,
40794,彼はこの上なく優しい人です。,彼はこの上なく優しい人です。,he is as gentle a person as ever lived .,
40795,人気があるのも当然だ。,人気があるのも当然だ。,he is deservedly popular .,
40796,君の辞書を借りていいですか。,あなたの辞書を借りていいですか。,may i borrow your dictionary ?,
40797,どれでも一番好きなものを取りなさい。,どれでも一番好きなものを取りなさい。,take whichever you like best .,
40798,私もそうです。,私もそうです。,"i don 't , either .",
40799,それは本当のことであったはずがない。,それは本当のことであったはずがない。,that cannot have been true .,
40800,私は試験に受かるように一生懸命勉強した。,私は試験に合格するように頑張って勉強した。,i studied hard so that i could pass the examination .,
40801,３時に彼女に電話しなさい。,３時に彼女に電話しなさい。,call her up at three .,
40802,その犬に近寄っては行けない。,その犬の近くに行ってはならない。,don 't approach the dog .,
40803,メアリーはテレビを見るのが好きだ。,メアリーはテレビを見るのが好きだ。,mary likes watching tv .,
40804,彼は一生懸命努力したが無駄だった。,彼はとても努力したが結果が出なかった。,he tried hard in vain .,
40805,パーティーは全体的に成功であった。,パーティーは全体的に成功であった。,"the party was , on the whole , successful .",
40806,彼は彼女に「お母さんはどこ？」と尋ねた。,彼は彼女に「お母さんはどこ？」と尋ねた。,he asked her where her mother was .,
40807,彼女はその手紙を読んで悲しそうだった。,彼女はその手紙を読んで悲しそうだった。,"when she was reading the letter , she looked sad .",
40808,彼はある意味正しい。,彼はある意味正しい。,he is right in a sense .,
40809,医者は彼に煙草を減らすように言った。,医者は彼に煙草を少なくするように言った。,the doctor told him to cut down on smoking .,
40810,彼女は私のお供をするように言われた。,彼女は私と一緒に行くようにと言われた。,she was told to accompany me .,
40811,おなじ間違いを繰り返すな。,同じ間違いを繰り返すな。,don 't make the same mistake again .,
40812,私には家族がいます。,私には家族がいます。,i have a family .,
40813,彼は村の近くの川に釣りに出かけた。,彼は村の近くの川に釣りに出かけた。,he went fishing in a river near the village .,
40814,どっちでも同じことだ。,どちらも同じことだ。,just the same !,
40815,彼女は妊娠中です。,彼女の腹には子供がいます。,she is expecting a child .,
40816,彼はこの仕事に慣れた。,彼はこの仕事に慣れた。,he got used to the work .,
40817,二つのうちでどちらが値段が高いのですか。,２つのうちでどちらがたくさんお金かかりますか。,which is the more expensive of the two ?,
40818,君は何かほしいですか。,あなたは何か欲しいですか。,do you want anything ?,
40819,彼は木にもたれて立っていた。,彼は木に体の重さをかけて立っていた。,he kept standing against a tree .,
40820,私は仕事でいつも忙しい。,私は仕事でいつも忙しい。,i 'm busy with the work all the time .,
40821,今朝ブラウンさんという人がきました。,今朝ブラウンさんがきました。,a mr brown came this morning .,
40822,逆さまに向きを変えてください。,方向を逆に変えてください。,please turn over .,
40823,禁煙するためにどんな方法を使いましたか。,煙草をやめるためにどんな方法を使いましたか。,what method did you use to give up smoking ?,
40824,風邪を引いて頭が痛い。,風邪を引いて頭が痛い。,i 've caught a cold and my head hurts .,
40825,また戦争が起こったら、あなたはどうしますか。,また戦争が起こったら、あなたはどうしますか。,what would you do if another war occurred ?,
40826,新聞を持って来てください。,新聞を持って来てください。,"bring me the newspaper , please .",
40827,なくした時間を埋め合わせなければならない。,なくなった時間をどこかで合わせなければならない。,we must make up for lost time .,
40828,彼は７時ぴったりに家に着いた。,彼は７時ちょうどに家に着いた。,he got home at seven sharp .,
40829,彼の言葉にはあまり説得力がない。,彼の言葉にはあまり意見を変える力がない。,his words carry little conviction .,
40830,疲れすぎていて彼はほとんど歩けなかった。,疲れすぎていて彼はほとんど歩くことができなかった。,he was so tired that he could hardly walk .,
40831,その橋はまだ建設中です。,その橋はまだ作っています。,the bridge is still under construction .,
40832,三日から五日で。,３日から５日で。,maybe three to five days .,
40833,山の天気は変わりやすいらしい。,山の天気は変わりやすいらしい。,it is said that the weather on the mountain changes easily .,
40834,彼は気高い心を持っている。,彼は自信のある心を持っている。,he has a noble mind .,
40835,彼女はそれを故意に行った。,彼女は知りながらそれに行った。,she did it on purpose .,
40836,彼は突然かんしゃくを起こした。,彼は突然怒った。,he broke out into rage .,
40837,悪いことしてはだめですよ。,悪いことしてはならない。,don 't be a bad boy .,
40838,宿題をやりかけにしておいた。,宿題を途中にしておいた。,the boy left his homework half-finished .,
40839,君はずぶぬれだ。,あなたはとても水がかかっている。,you 're wet through .,
40840,すぐ仕事にかかろう。,すぐ仕事にかかろう。,let 's begin our work at once .,
40841,彼らは俳優です。,彼らは俳優です。,they are actors .,
40842,彼女は来るだろうと思っている。,彼女は来るだろうと思っている。,i think she will come .,
40843,外はまだ明るい。,外はまだ明るい。,it is still light outside .,
40844,彼女は会うためにそこに行った。,彼女は会うためにそこに行った。,i went there to see her .,
40845,これはあなたが自由にしてよいお金です。,これはあなたが自由にしてよいお金です。,this is the money at your disposal .,
40846,そのニュースははたして本当かしら。,そのニュースは予想した通り本当なのか。,can the news be true ?,
